"Page ID","Page name","Data comment",Date,"Unique user engagements","Overall negative feedback","Overall negative feedback: Hide all","Overall negative feedback: Hide","Overall negative feedback: Report as spam","Overall negative feedback: Unlike Page","Overall negative feedback: Click X button","Unique negative feedback from users","Unique negative feedback from users: Hide all","Unique negative feedback from users: Hide","Unique negative feedback from users: Unlike Page","Unique negative feedback from users: Report as spam","Unique negative feedback from users: Click X button"
423008958154572,"Bidhaan Health & Beauty",,01/01/2024,59,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/02/2024,33,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/03/2024,48,1,1,0,0,0,0,1,1,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/04/2024,44,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/05/2024,67,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/06/2024,38,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/07/2024,13,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/08/2024,65,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/09/2024,34,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/10/2024,42,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/11/2024,18,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/12/2024,24,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/13/2024,33,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/14/2024,43,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/15/2024,45,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/16/2024,42,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/17/2024,38,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/18/2024,16,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/19/2024,14,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/20/2024,95,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/21/2024,142,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/22/2024,138,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/23/2024,120,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/24/2024,135,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/25/2024,73,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/26/2024,21,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/27/2024,5,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/28/2024,40,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/29/2024,111,0,0,0,0,0,0,0,0,0,0,0,0
423008958154572,"Bidhaan Health & Beauty",,01/30/2024,35,0,0,0,0,0,0,0,0,0,0,0,0
